Rodovia;Sentido;Tipo;Km Inicial;Km Final;Comprimento (m);Latitude Inicial;Longitude Inicial;Latitude Final;Longitude Final
MS-395;Norte;Grelha;67+080;;;-21,70840862;-52,41921602;;
MS-395;Norte;Descida d'água;67+181;;;-21,70761939;-52,41874792;;
MS-395;Sul;Meio-Fio;67+265;68+363;1098;-21,70816290;-52,41902127;-21,69948498;-52,41398060
MS-395;Norte;Descida d'água;67+391;;;-21,70597937;-52,41779054;;
MS-395;Norte;Descida d'água;67+483;;;-21,70524197;-52,41736297;;
MS-395;Norte;Descida d'água;67+560;;;-21,70462847;-52,41700959;;
MS-395;Norte;Descida d'água;67+640;;;-21,7040195;-52,41665344;;
MS-395;Norte;Descida d'água;67+718;;;-21,7033828;-52,4162848;;
MS-395;Norte;Descida d'água;67+796;;;-21,70277145;-52,41592841;;
MS-395;Norte;Descida d'água;67+875;;;-21,70215467;-52,41556804;;
MS-395;Norte;Descida d'água;67+954;;;-21,70153301;-52,41520994;;
MS-395;Norte;Descida d'água;68+028;;;-21,70095878;-52,41486978;;
MS-395;Norte;Descida d'água;68+106;;;-21,70034391;-52,41451222;;
MS-395;Norte;Descida d'água;68+183;;;-21,69973133;-52,41415588;;
MS-395;Norte;Descida d'água;68+260;;;-21,69911765;-52,41379902;;
MS-395;Sul;Meio-Fio;68+385;68+875;490;-21,69930995;-52,41387874;-21,69543534;-52,41162145
MS-395;Norte;Descida d'água;68+417;;;-21,69789597;-52,41308954;;
MS-395;Norte;Descida d'água;68+495;;;-21,69727447;-52,41273328;;
MS-395;Norte;Descida d'água;68+563;;;-21,69673739;-52,41241544;;
MS-395;Norte;Descida d'água;68+647;;;-21,69608091;-52,41202955;;
MS-395;Norte;Descida d'água;68+722;;;-21,69549805;-52,41168825;;
MS-395;Norte;Meio-Fio;68+749;67+111;1638;-21,69527927;-52,41155875;-21,70816551;-52,41906886
MS-395;Norte;Descida d'água;68+802;;;-21,69486149;-52,41131438;;
MS-395;Norte;Descida d'água;68+880;;;-21,69424023;-52,41095347;;
MS-395;Sul;Meio-Fio;68+885;69+249;364;-21,69535570;-52,41157438;-21,69247978;-52,40990944
MS-395;Norte;Descida d'água;68+958;;;-21,69363156;-52,41059940;;
MS-395;Norte;Descida d'água;69+080;;;-21,69267749;-52,41004639;;
MS-395;Norte;Meio-Fio;69+117;68+771;346;-21,69237710;-52,40987254;-21,6951081;-52,41145796
MS-395;Norte;Descida d'água;69+122;;;-21,69232944;-52,40984545;;
MS-395;;DP - CONCRETO;70+240;70+240;;21405930S;;52241762W;
MS-395;Norte;Meio-Fio;70+709;70+670;39;-21,67959428;-52,40303836;-21,67990962;-53,40321055
MS-395;Norte;Descida d'água;70+715;;;-21,67956107;-52,40302047;;
MS-395;Norte;Descida d'água;70+770;;;-21,67911142;-52,40278196;;
MS-395;Norte;Descida d'água;70+798;;;-21,67887778;-52,40265671;;
MS-395;Norte;Descida d'água;70+853;;;-21,67844089;-52,40242207;;
MS-395;Norte;Descida d'água;70+926;;;-21,67785962;-52,40211645;;
MS-395;Norte;Descida d'água;71+011;;;-21,67717931;-52,40175403;;
MS-395;Norte;Descida d'água;71+122;;;-21,67627624;-52,40131210;;
MS-395;Norte;Descida d'água;71+258;;;-21,67508240;-52,40101639;;
MS-395;Norte;Descida d'água;71+403;;;-21,67377865;-52,40110689;;
MS-395;Norte;Meio-Fio;71+633;70+737;896;-21,67181388;-52,40176445;-21,67937791;-52,40292308
MS-395;Norte;Descida d'água;71+644;;;-21,67172684;-52,40179619;;
MS-395;Norte;Descida d'água;71+960;;;-21,66902994;-52,40276648;;
MS-395;Sul;Meio-Fio;72+076;72+281;205;-21,66920298;-52,40268413;-21,66744455;-52,40331521
MS-395;Norte;Descida d'água;72+153;;;-21,66739626;-52,40335381;;
MS-395;Norte;Descida d'água;72+234;;;-21,66670645;-52,40360246;;
MS-395;Norte;Meio-Fio;72+322;71+949;373;-21,66595317;-52,40387763;-21,66913531;-52,40272803
MS-395;Sul;Meio-Fio;72+326;72+460;134;-21,66707190;-52,40344830;-21,66591392;-52,40386608
MS-395;Norte;Descida d'água;72+764;;;-21,66220845;-52,40522551;;
MS-395;Norte;Meio-Fio;72+791;72+764;27;-21,66197852;-52,40530751;-21,66220845;-52,40522551
MS-395;Norte;Meio-Fio;72+937;72+825;112;-21,66076468;-52,40580686;-21,66169639;-52,40541332
